Array Design Name	Agilent-021827 Human miRNA Microarray G4470C (Feature Number version)
Provider	 Agilent Technologies(cag_sales-na@agilent.com)
Comment[ArrayExpressAccession]	A-GEOD-14767
Comment[SecondaryAccession]	GPL14767
Comment[Description]	Array Manufacturer: Agilent Technologies, Catalogue number: G4470C, Distribution: commercial, Technology: in situ oligonucleotide, Human miRNA Microarray 3.0  Arrays of this design have barcodes that begin with 16021827 or 2521827.  Orientation: Features are numbered numbered Left-to-Right, Top-to-Bottom as scanned by an Agilent scanner (barcode on the left, DNA on the back surface, scanned through the glass), matching the FeatureNum output from Agilent's Feature Extraction software.  The ID column represents the Agilent Feature Extraction feature number.  Rows and columns are numbered as scanned by an Axon Scanner (barcode on the bottom, DNA on the front surface).  To match data scanned on an Axon scanner, use the RefNumber column contained in the Agilent-provided GAL file as the ID_REF column in sample submissions. <br>Reporter Name = Agilent feature number<br>Comment[CONTROL_TYPE] = Control type<br>Reporter Database Entry [mirbase] = miRBase LINK_PRE:http://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=<br>Comment[GENE_NAME] = Gene Name<br>Comment[ACCESSION_STRING] = Accession String<br>Reporter Database Entry [chromosome_coordinate] = Chromosomal Location<br>Comment[SPOT_ID] = Spot identifier
Comment[SubmittedName]	Agilent-021827 Human miRNA Microarray G4470C (Feature Number version)
Comment[Organism]	Homo sapiens
Comment[ArrayExpressReleaseDate]	2011-10-20
Printing Protocol	see manufacturer's web site at http://www.agilent.com/
Surface Type
Substrate Type
Term Source Name	chromosome_coordinate	mirbase
2692	hsa-miR-33b	chr17:17717184-17717166
2693	ebv-miR-BART6-5p	HHV507799:000140039-000140054
2694	hsa-miR-320b	chr1:117214417-117214430,chr1:224444798-224444785
2695	hsa-miR-1182	chr1:231155657-231155644
2696	hsa-miR-145*	chr5:148810264-148810283
2697	hsa-miR-22*	chr17:1617232-1617217
2698	hsa-miR-625*	chr14:65937877-65937892
2699	hsa-miR-658	chr22:38240363-38240345
2700	hsa-miR-335	chr7:130135972-130135989
2701	hsa-miR-1228	chr12:57588349-57588357
2702	hsa-miR-452	chrX:151128134-151128120
2703	hsa-miR-875-5p	chr8:100549045-100549026
2704	hsa-miR-708*	chr11:79113143-79113130
2705	hsa-miR-425*	chr3:49057656-49057646
2706	hsa-miR-621	chr13:41384970-41384982
2707	hsa-miR-1207-3p	chr8:129061454-129061466
2708	hsa-miR-193b*	chr16:14397848-14397858
2709	hsa-miR-570	chr3:195426337-195426352
2710		
2711	hsa-miR-30e*	chr1:040992677-040992693,chr1:041220090-041220106
2712	hsa-miR-216a	chr2:56216124-56216112
2713	hsa-miR-617	chr12:81226348-81226334
2714	hsa-miR-558	chr2:32757285-32757298
2715	hsa-miR-512-5p	chr19:054169951-054169968,chr19:054172435-054172452
2716	hsa-miR-196a	chr12:054385549-054385567,chr17:046709879-046709861
2717	hsa-miR-320a	chr8:022102543-022102531,chr8:022158488-022158476
2718	hiv1-miR-H1	unmapped
2719	hsa-let-7f	chr9:096938637-096938656,chrX:053584181-053584162
2720	hsa-miR-1297	chr13:54886174-54886161
2721	hsa-miR-129-3p	chr11:43603004-43603021
2722	hsa-miR-662	chr16:820249-820263
2723	hsa-miR-1280	chr3:128081019-128081028
2724	hsa-miR-509-5p	chrX:146340317-146340301,chrX:146342089-146342073
2725	hsa-miR-96*	chr7:129414604-129414589
2726	hsa-miR-146b-5p	chr10:104186271-104186288,chr10:104196281-104196298
2727	hsa-miR-922	chr3:197401445-197401433
2728	ebv-miR-BHRF1-2*	HHV507799:000042859-000042874
2729	hsa-miR-520a-3p	chr19:054194189-054194208,chr19:058886001-058886020
2730	hsa-miR-621	chr13:41384971-41384982
2731	hsa-miR-939	chr8:145619401-145619391
2732	hsa-miR-642a	chr19:046178207-046178222,chr19:046178207-046178222
2733	hsa-miR-1252	chr12:79813043-79813062
2734	hsa-miR-589*	chr7:005502059-005502048,chr7:005535533-005535522
2735	hsa-miR-183*	chr7:129414831-129414820
2736	hsa-miR-541*	chr14:101530850-101530865
2737	hsa-miR-1197	chr14:101491962-101491977
2738	hsa-miR-551b*	chr3:168269675-168269684
2739	hsa-miR-507	chrX:146312577-146312561
2740	hcmv-miR-US25-2-3p	HEHCMVCG:000215532-000215523
2741	hsa-miR-222	chrX:45606509-45606499
2742	hsa-miR-1468	chrX:63005914-63005903
2743	hsa-miR-885-5p	chr3:10436204-10436190
2744	hsa-miR-502-5p	chrX:049665964-049665981,chrX:049779224-049779241
2745	hsa-miR-1226	chr3:47891108-47891119
2746	hsa-miR-933	chr2:176032428-176032415
2747	hsa-miR-1264	chrX:113887176-113887193
2748	jcv-miR-J1-3p	unmapped
2749	hsa-miR-1303	chr5:154065396-154065408
2750	hsa-miR-944	chr3:189547769-189547785
2751	hsa-miR-212	chr17:1953655-1953642
2752	hsa-miR-27a	chr19:13947324-13947309
2753	hsa-miR-370	chr14:101377532-101377544
2754	hsa-miR-297	chr4:111781761-111781748
2755	hsa-miR-411*	chr14:101489720-101489733
2756	hsa-miR-627	chr15:42491804-42491786
2757	hsa-miR-30d	chr8:135817145-135817134
2758	hsa-miR-1274a_v16.0	chr5:41475753-41475764
2759	hsa-miR-517*	chr19:054215541-054215557,chr19:054224340-054224356,chr19:054244591-054244607
2760	hsa-miR-105*	chrX:151560762-151560744,chrX:151562955-151562937
2761	hsa-miR-125a-5p	chr19:52196528-52196544
2762	hsa-miR-1296	chr10:65132753-65132740
2763	hsa-miR-27a*	chr19:13947284-13947273
2764	hsa-miR-668	chr14:101521645-101521659
2765	hsa-miR-194*	chr11:64658898-64658884
2766	hsa-miR-9*	chr1:154656832-154656815,chr1:156390208-156390191,chr5:087962744-087962727,chr5:087998500-087998483,chr15:087712310-087712327,chr15:089911306-089911323
2767	hsa-miR-890	chrX:145075823-145075808
2768	hsv1-miR-H4*	unmapped
2769	hsa-miR-425	chr3:049032620-049032603,chr3:049057616-049057599
2770	hsa-miR-485-3p	chr14:101521807-101521822
2771	ebv-miR-BHRF1-2*	HHV507799:000042860-000042874
2772	hsa-miR-18b	chrX:133304098-133304082
2773	hsa-miR-744	chr17:11985235-11985247
2774	hsa-miR-147b	chr15:45725303-45725317
2775	hsa-miR-609	chr10:105978581-105978564
2776	hsa-miR-577	chr4:115577931-115577950
2777	hsa-miR-566	chr3:50210776-50210792
2778	hsa-miR-134	chr14:101521042-101521052
2779	hsa-miR-450b-3p	chrX:133674283-133674266
2780	hsa-miR-1236	chr6:31924717-31924703
2781	hcmv-miR-UL148D	unmapped
2782	hsa-miR-664*	chr1:220373913-220373896
2783	hsa-miR-625	chr14:65937837-65937854
2784	hsa-miR-1238	chr19:10662867-10662878
2785	hsa-miR-648	chr22:18463667-18463655
2786	hsa-miR-19b-1*	chr13:92003469-92003483
2787	hsa-miR-302c	chr4:113569583-113569566
2788	hsa-miR-1293	chr12:50627955-50627941
2789	hsa-miR-93	chr7:099529359-099529345,chr7:099691423-099691409
2790	hsa-miR-208a	chr14:022927709-022927691,chr14:023857869-023857851
2791	hsa-miR-181c*	chr19:13985585-13985598
2792	hsa-miR-202*	chr10:135061063-135061044
2793	ebv-miR-BART12	HHV507799:000147940-000147957
2794	kshv-miR-K12-3	KSU75698:000121571-000121560
2795	hsa-miR-191	chr3:49058088-49058076
2796	hsa-miR-29c	chr1:207975271-207975251
2797	hsa-miR-1265	chr10:14478594-14478609
2798	hsa-let-7b	chr22:46509575-46509592
2799	hsa-miR-532-5p	chrX:049654519-049654534,chrX:049767779-049767794
2800	hsa-miR-574-5p	chr4:38869683-38869699
2801	hsv1-miR-H4	unmapped
2802	hsa-miR-409-5p	chr14:101531659-101531673
2803	hsa-miR-541	chr14:101530892-101530906
2804	hsa-miR-1322	chr8:10682951-10682937
2805	hsa-miR-15b	chr3:160122398-160122416
2806	hsa-miR-29b-2*	chr1:207975819-207975806
2807	hsa-miR-1261	chr11:90602311-90602296
2808	hsa-miR-573	chr4:24521853-24521836
2809	hsa-miR-627	chr15:42491804-42491785
2810	hiv1-miR-TAR-5p	unmapped
2811	hsa-miR-1257	chr20:60528643-60528629
2812		
2813	hsa-miR-1251	chr12:97885700-97885711
2814	hsa-miR-886-3p_v15.0	chr5:135416286-135416268
2815	hsa-miR-27b	chr9:97847792-97847807
2816	hsa-miR-424*	chrX:133680711-133680699
2817	hsa-miR-619	chr12:109230767-109230756
2818	hsa-miR-1289	chr5:132763379-132763363,chr20:034041883-034041867
2819	hsa-miR-607	chr10:98588506-98588488
2820	hsa-miR-1911	chrX:113997765-113997777
2821	hsa-miR-518e	chr19:54233149-54233165
2822	ebv-miR-BART10*	HHV507799:000147321-000147342
2823	hsa-miR-575	chr4:83674568-83674552
2824	hsa-miR-520a-5p	chr19:054194151-054194169,chr19:058885963-058885981
2825	hsa-miR-490-5p	chr7:136587958-136587971
2826	hsa-miR-548d-3p	chr8:124360355-124360338,chr8:124429536-124429519,chr17:062898148-062898131,chr17:065467686-065467669
2827	hsa-miR-378	chr5:149112439-149112450
2828	hsa-miR-181a*	chr1:198828257-198828241
2829	hsa-miR-523	chr19:54201698-54201713
2830	hsa-miR-1200	chr7:36958991-36958979
2831	hsa-miR-192*	chr11:64658696-64658680
2832	hsa-miR-1179	chr15:89151357-89151372
2833	hsa-miR-195*	chr17:6921007-6920996
2834	hsa-miR-136*	chr14:101351090-101351108
2835	hsa-miR-1827	chr12:100583711-100583727
2836	hsa-miR-218-2*	chr5:168195238-168195229
2837	jcv-miR-J1-3p	unmapped
2838	hsa-miR-1180	chr17:19247880-19247870
2839	hsa-miR-455-3p	chr9:116971773-116971787
2840	hsa-miR-1226*	chr3:47891062-47891070
2841	hsa-miR-548l	chr11:94199696-94199684
2842	hsa-miR-339-3p	chr7:1062640-1062631
2843	hsa-miR-193b*	chr16:14397847-14397858
2844	hsa-miR-125b	chr11:121970500-121970485,chr21:017962579-017962594
2845	hsa-miR-549	chr15:81134399-81134381
2846	hsa-miR-145*	chr5:148810264-148810283
2847	hsa-miR-888*	chrX:145076368-145076355
2848	hsa-miR-188-3p	chrX:49768169-49768182
2849	hsa-miR-890	chrX:145075823-145075808
2850	hsa-miR-1238	chr19:10662870-10662878
2851	hsa-miR-33a*	chr22:42297000-42297014
2852	hsa-miR-944	chr3:189547767-189547785
2853	ebv-miR-BHRF1-1	HHV507799:000041483-000041495
2854	hsa-miR-154*	chr14:101526146-101526163
2855	hsa-miR-1226	chr3:47891106-47891119
2856	hsa-miR-1226	chr3:47891106-47891119
2857	hsa-miR-571	chr4:344011-344026
2858	hsa-miR-1262	chr1:68649235-68649218
2859	hsa-miR-150	chr19:50004078-50004064
2860	hsa-miR-96	chr7:129414562-129414543
2861	hsa-miR-873	chr9:28888907-28888889
2862	hsa-miR-215	chr1:220291241-220291223
2863	hsa-miR-501-3p	chrX:49774390-49774401
2864	hsa-miR-367	chr4:113569094-113569076
2865	hsa-miR-183*	chr7:129414831-129414818
2866	hsa-miR-155	chr21:26946303-26946317
2867	hsa-miR-33b	chr17:17717184-17717166
2868	hsa-miR-631	chr15:75645987-75645975
2869	hsa-miR-602	chr9:140732895-140732908
2870	hsa-miR-218	chr4:020529923-020529942,chr5:168195195-168195176
2871	hsa-miR-150*	chr19:50004113-50004102
2872	hsa-miR-370	chr14:101377532-101377544
2873	hsa-miR-126	chr9:139565111-139565126
2874	hsa-miR-196a*	chr12:54385591-54385604
2875	hsa-miR-188-3p	chrX:49768169-49768182
2876	hsa-miR-518c*	chr19:054209525-054209541,chr19:054210727-054210743,chr19:054212018-054212034,chr19:054230187-054230203,chr19:054238151-054238167
2877	hsa-miR-18b*	chrX:133304140-133304130
2878	hsa-miR-548c-3p	chr12:063302618-063302637,chr12:065016351-065016370
2879	hsa-miR-924	chr18:37202109-37202093
2880	hsa-miR-487a	chr14:101518838-101518852
2881	hsa-miR-367*	chr4:113569056-113569039
2882	hsa-miR-1827	chr12:100583711-100583727
2883	hsa-miR-29a	chr7:130561568-130561550
2884	hsa-miR-550a	chr7:030329441-030329453,chr7:030329441-030329453,chr7:032772624-032772636,chr7:032772624-032772636
2885	ebv-miR-BHRF1-2	HHV507799:000042894-000042909
2886	hsa-miR-329	chr14:101493173-101493192,chr14:101493490-101493509
2887	hsa-miR-20a*	chr13:92003364-92003383
2888	hsa-miR-183	chr7:129414792-129414775
2889	hsa-miR-18b*	chrX:133304140-133304130
2890	hsa-miR-509-5p	chrX:146340317-146340302,chrX:146342089-146342074
2891	hcmv-miR-UL36*	HEHCMVCG:000049563-000049545
2892	hcmv-miR-UL36*	HEHCMVCG:000049563-000049547
2893	ebv-miR-BART10	HHV507799:000147364-000147378,HHV507799:000147364-000147378
2894	hsa-miR-324-5p	chr17:7126653-7126638
2895	hsa-miR-654-3p	chr14:101506611-101506627
2896	hsa-miR-561	chr2:189162284-189162300
2897	hsa-miR-129-3p	chr11:43603004-43603021
2898	hsa-miR-24	chr9:097848350-097848367,chr19:013947171-013947154
2899	hsa-miR-638	chr19:10829108-10829119
2900	hsa-miR-509-5p	chrX:146340317-146340302,chrX:146342089-146342074
2901	hsa-miR-181a-2*	chr9:127454803-127454818
2902	hsa-miR-630	chr15:72879625-72879639
2903	hsa-miR-376a	chr14:101506458-101506475,chr14:101507165-101507182
2904	hsa-miR-502-5p	chrX:049665964-049665981,chrX:049779224-049779241
2905	hsa-miR-1289	chr5:132763379-132763363,chr20:034041883-034041867
2906	hsa-miR-942	chr1:117637281-117637298
2907	hsa-miR-1912	chrX:113886071-113886085
2908	hsa-miR-1909*	chr19:1816193-1816183
2909	hsa-miR-220c_v15.0	chr19:49063560-49063547
2910	hsa-miR-543	chr14:101498374-101498391
2911	hsa-miR-146a*	chr5:159912418-159912436
2912	hsa-miR-33a*	chr22:42297003-42297014
2913	hsa-miR-802	chr21:37093037-37093052
2914	hsa-miR-210	chr11:568175-568162
2915	hsa-miR-101*	chr1:65524148-65524132
2916	hsa-miR-150	chr19:50004078-50004064
2917	hsa-miR-483-5p	chr11:2155392-2155379
2918	hsa-miR-654-5p	chr14:100576330-100576345,chr14:101506577-101506592
2919	hsa-miR-338-3p	chr17:79099745-79099726
2920	hsa-miR-193b	chr16:14397882-14397895
2921	hsa-miR-28-5p	chr3:188406584-188406603,chr3:189889278-189889297
2922	hsa-miR-490-5p	chr7:136587958-136587971
2923	hsa-miR-196a*	chr12:54385592-54385604
2924	hsa-miR-1271	chr5:175794970-175794984
2925	hsa-miR-154	chr14:101526110-101526127
2926		
2927	hsa-miR-1247	chr14:102026684-102026673
2928	hsa-miR-148a	chr7:25989603-25989585
2929	hsa-miR-1228	chr12:57588349-57588357
2930	hsa-miR-411	chr14:101489682-101489697
2931	hsa-miR-582-5p	chr5:058999469-058999449,chr5:059035226-059035206
2932	hsa-miR-941	chr20:062550856-062550870,chr20:062551107-062551121,chr20:062551163-062551177,chr20:062551219-062551233,chr20:062551275-062551289
2933	hsa-miR-1279	chr12:69666967-69666952
2934	hsa-miR-101	chr1:065524183-065524165,chr9:004850347-004850365
2935	hsa-let-7c	chr21:17912162-17912179
2936	hsa-miR-155*	chr21:26946336-26946355
2937	hsa-miR-625*	chr14:65937875-65937892
2938	hcmv-miR-US33-5p	HEHCMVCG:000220498-000220490,HEHCMVCG:000220498-000220490
2939	hsa-miR-124	chr8:065291771-065291786,chr8:009760969-009760954,chr20:061809908-061809923
2940	hsa-miR-370	chr14:101377532-101377544
2941	hsa-miR-1279	chr12:69666967-69666953
2942	hsa-miR-1244	chr2:232578086-232578103,chr5:118310343-118310360,chr12:009392142-009392125
2943	hsa-miR-1226	chr3:47891106-47891119
2944	hsa-miR-32*	chr9:111808576-111808559
2945	hsa-miR-132*	chr17:1953245-1953227
2946	hsa-miR-30e	chr1:41220049-41220064
2947	hsa-miR-664	chr1:220373950-220373936
2948		
2949	hsa-miR-1289	chr5:132763379-132763363,chr20:034041883-034041867
2950	hsa-miR-377*	chr14:101528397-101528414
2951	hsa-miR-380*	chr14:100561117-100561132,chr14:101491364-101491379
2952	hsa-miR-18b	chrX:133304098-133304082
2953	hsa-miR-597	chr8:9599206-9599218
2954	hsa-miR-181a	chr1:198828218-198828204,chr9:127454767-127454781
2955	hsa-miR-135b	chr1:205417467-205417446
2956	hsa-let-7g	chr3:52302319-52302301
2957	hsa-miR-95	chr4:8007097-8007080
2958	hsa-miR-1264	chrX:113887177-113887193
2959	hsa-miR-626	chr15:41983846-41983861
2960	hsa-miR-492	chr12:95228209-95228225
2961		
2962	hsa-miR-323b-5p	chr14:101522578-101522592,chr14:101522578-101522592
2963	hsa-miR-655	chr14:101515950-101515968
2964	hsa-miR-197	chr1:110141569-110141583
2965	hsa-miR-1276	chr15:86313757-86313745
2966	hsa-miR-330-5p	chr19:46142290-46142275
2967	hsa-miR-298	chr20:57393314-57393300
2968	hsa-miR-1197	chr14:101491961-101491977
2969	hsa-miR-411*	chr14:101489720-101489733
2970	hsa-miR-548h	chr6:132113322-132113335,chr8:026906407-026906394,chr14:064561783-064561770,chr16:011400333-011400320,chr17:013446895-013446882
2971	hsa-miR-708*	chr11:79113143-79113128
2972	hsa-miR-646	chr20:58883596-58883610
2973	hsa-miR-199a-5p	chr1:170380350-170380332,chr1:172113727-172113709,chr19:010789129-010789111,chr19:010928129-010928111
2974	hsa-let-7i*	chr12:62997536-62997548
2975	hsa-miR-16-2*	chr3:160122586-160122606
2976	hsa-miR-139-3p	chr11:72326171-72326158
2977	hsa-miR-1539	chr18:47013780-47013792
2978	hsa-miR-548l	chr11:94199696-94199683
2979	hsa-miR-934	chrX:135633063-135633072
2980	hsa-miR-1207-5p	chr8:129061414-129061425
2981	hsa-miR-147b	chr15:45725301-45725317
2982	hsa-miR-647	chr20:62574019-62574004
2983	kshv-miR-K12-1	KSU75698:000121871-000121857
2984	hsa-miR-522	chr19:54254520-54254539
2985		
2986	hsa-miR-151-3p	chr8:141742729-141742714,chr8:141811911-141811896
2987		
2988	hsa-miR-199b-5p	chr9:130046868-130046847,chr9:131007047-131007026
2989	hsa-miR-26b*	chr2:219267420-219267436
2990	hsa-miR-34c-5p	chr11:110889390-110889408,chr11:111384180-111384198
2991	ebv-miR-BART7*	HHV507799:000146442-000146460
2992	hsa-miR-203	chr14:104583812-104583827
2993	ebv-miR-BART12	HHV507799:000147939-000147957
2994	hsa-miR-103b	chr5:167987915-167987931,chr5:167987915-167987931,chr20:003898171-003898155,chr20:003898171-003898155
2995	hsa-miR-34a	chr1:9211769-9211751
2996	hsa-miR-1288	chr17:16185379-16185392
2997	hsa-miR-135a*	chr3:52328311-52328303
2998	ebv-miR-BART19-3p	HHV507799:000148259-000148274
2999	hsa-miR-145	chr5:148810230-148810246
3000	kshv-miR-K12-9	KSU75698:000119361-000119349
3001	hsa-let-7f	chr9:096938636-096938656,chrX:053584181-053584161
3002	hsa-miR-144*	chr17:27188586-27188567
3003	hsa-miR-1180	chr17:19247880-19247870
3004	hsa-miR-218	chr4:020529924-020529942,chr5:168195195-168195177
3005	hsa-miR-181d	chr19:13985731-13985746
3006		
3007		
3008	hsa-miR-629	chr15:70371752-70371738
3009	hsa-miR-224	chrX:151127077-151127060
3010	hsa-miR-133b	chr6:052013790-052013807,chr6:052121749-052121766
3011	hsa-miR-891b	chrX:145082602-145082583
3012	hsa-miR-339-5p	chr7:1062605-1062594
3013	hsa-miR-151-5p	chr8:141742693-141742678
3014	hsa-miR-411	chr14:101489682-101489697
3015	hsa-miR-125b	chr11:121970500-121970484,chr21:017962578-017962594
3016	hsa-miR-944	chr3:189547767-189547785
3017	hsa-miR-1201_v15.0	chr14:20794680-20794664
3018		
3019	hsa-miR-487b	chr14:101512848-101512863
3020	hsa-miR-675	chr11:2018020-2018011
3021	hsa-miR-342-5p	chr14:100576014-100576030
3022	hsa-miR-378	chr5:149112439-149112450
3023	hsa-miR-643	chr19:52785117-52785131
3024	hsa-miR-570	chr3:195426334-195426352
3025	hsa-miR-708	chr11:79113098-79113086
3026	hsa-miR-1234	chr8:145625557-145625548
3027	hsa-miR-1184	chrX:154687246-154687260,chrX:154115717-154115703,chrX:154612831-154612817
3028	hsa-miR-891a	chrX:145109343-145109332
3029	hsa-miR-220a_v15.0	chrX:122523669-122523651,chrX:122695988-122695970
3030	hsa-miR-34b*	chr11:110888887-110888907,chr11:111383677-111383697
3031	hsa-miR-192	chr11:64658652-64658636
3032	hsa-miR-200a	chr1:1103302-1103317
3033	hsa-miR-15b*	chr3:160122435-160122454
3034	hsa-miR-513b	chrX:146280596-146280579
3035	hsa-miR-487a	chr14:101518838-101518852
3036	hsa-miR-656	chr14:101533105-101533123
3037	hsa-miR-1911*	chrX:113997799-113997811
3038	hsa-miR-613	chr12:12917651-12917662
3039	hsa-miR-634	chr17:64783257-64783271
3040	hsa-miR-96*	chr7:129414604-129414592
3041	hsa-miR-548c-5p	chr12:65016317-65016334
3042	hsa-miR-1278	chr1:193105685-193105703
3043	hsa-miR-1255b	chr1:167967907-167967924,chr4:036428011-036427994
3044	hsa-let-7e	chr19:52196050-52196067
3045	hsa-miR-1910	chr16:85775258-85775248
3046	hsa-miR-33a*	chr22:42297001-42297014
3047	hsa-miR-610	chr11:28078383-28078397
3048	hsa-let-7c	chr21:17912163-17912179
3049	hsa-miR-16-1*	chr13:50623185-50623174
3050	hsa-miR-1297	chr13:54886174-54886160
3051	hsa-miR-34a	chr1:9211769-9211752
3052		
3053	hsa-miR-582-5p	chr5:058999469-058999448,chr5:059035226-059035205
3054	hsa-miR-1231	chr1:201777754-201777762
3055	hsa-miR-1226*	chr3:47891062-47891070
3056	hsa-miR-99b	chr19:52195878-52195892
3057	hsa-miR-614	chr12:13068825-13068838
3058	hsa-miR-96	chr7:129414562-129414543
3059	hsa-miR-194	chr1:220291534-220291519,chr11:064658862-064658847
3060	hsa-miR-1200	chr7:36958991-36958978
3061	hsa-miR-499-3p	chr20:33578254-33578269
3062	hsa-miR-1913	chr6:166922911-166922901
3063	hsa-miR-17	chr13:092002878-092002894,chrX:133304262-133304246
3064	hsa-miR-1273	chr8:101036309-101036292
3065	hsa-miR-501-3p	chrX:49774390-49774401
3066	hsa-miR-1912	chrX:113886071-113886085
3067	hsa-miR-194	chr1:220291534-220291519,chr11:064658862-064658847
3068	hsa-miR-202*	chr10:135061063-135061044
3069	ebv-miR-BART16	HHV507799:000139803-000139818
3070	hsa-miR-371-5p	chr19:54290943-54290953
3071	hsa-miR-378	chr5:149112439-149112450
3072	hsa-miR-548b-3p	chr6:119390293-119390275,chr6:119431992-119431974
3073	hsa-miR-1825	chr20:30825638-30825650
3074	hsa-miR-1468	chrX:63005914-63005902
3075	hsa-miR-577	chr4:115577931-115577950
3076	hsa-miR-1231	chr1:201777754-201777762
3077		
3078	hsa-miR-508-5p	chrX:146318478-146318466
3079	hsa-miR-597	chr8:9599203-9599218
3080	hsa-miR-508-3p	chrX:146126205-146126188,chrX:146318513-146318496
3081	hsv1-miR-H4*	unmapped
3082	hsa-let-7c	chr21:17912163-17912179
3083	hsa-miR-483-3p	chr11:2155431-2155416
3084	hsa-miR-612	chr11:65211956-65211968
3085	hsa-miR-337-3p	chr14:101340892-101340911
3086	hsa-miR-145	chr5:148810230-148810246
3087	hsa-miR-27a*	chr19:13947284-13947270
3088	hsa-miR-34c-3p	chr11:111384221-111384230
3089	hsa-miR-658	chr22:38240363-38240347
3090	hsa-miR-220c_v15.0	chr19:49063560-49063546
3091	hsa-miR-509-5p	chrX:146340317-146340301,chrX:146342089-146342073
3092		
3093	kshv-miR-K12-8_v14.0	KSU75698:000120010-000119995
3094	hsa-miR-329	chr14:101493174-101493192,chr14:101493491-101493509
3095	hsa-miR-200c	chr12:7072915-7072927
3096	hsa-miR-1537	chr1:236016360-236016345
3097	hsa-miR-935	chr19:54485627-54485638
3098	hsa-miR-650	chr22:23165292-23165305
3099	hsa-miR-1299	chr9:69002321-69002307
3100		
3101	hsa-miR-508-5p	chrX:146318478-146318465
3102	hsa-miR-665	chr14:101341421-101341431
3103	hsa-miR-1908	chr11:61582664-61582652
3104	hsa-miR-136*	chr14:101351090-101351108
3105	hsa-miR-154	chr14:101526110-101526127
3106	hsa-miR-190b	chr1:154166171-154166153
3107	ebv-miR-BART19-5p	HHV507799:000148224-000148237
3108	hsa-miR-518c*	chr19:054209526-054209541,chr19:054210728-054210743,chr19:054212019-054212034,chr19:054230188-054230203,chr19:054238152-054238167
3109	hsa-miR-30e*	chr1:040992677-040992693,chr1:041220090-041220106
3110	hsa-miR-126*	chr9:139565070-139565088
3111	hsa-miR-493*	chr14:100405168-100405186,chr14:101335415-101335433
3112	hsa-miR-26a	chr3:038010911-038010925,chr12:058218426-058218412
3113	hsa-miR-320a	chr8:022102543-022102532,chr8:022158488-022158477
3114	hsa-miR-210	chr11:568175-568161
3115	hsa-miR-224	chrX:151127077-151127060
3116	ebv-miR-BART16	HHV507799:000139805-000139818
3117		
3118	hsa-miR-29b	chr1:207975861-207975841,chr7:130562290-130562270
3119	hsa-miR-514	chrX:146360843-146360826,chrX:146363534-146363517,chrX:146366232-146366215
3120	hsa-miR-627	chr15:42491804-42491786
3121	hsa-miR-380	chr14:100561147-100561167,chr14:101491394-101491414
3122	hsa-miR-1205	chr8:128972891-128972905
3123	hsa-miR-19b-1*	chr13:92003469-92003483
3124	hsa-miR-365	chr16:014403197-014403218,chr17:029902497-029902518
3125	ebv-miR-BART8*	HHV507799:000146816-000146829
3126	hsa-miR-708	chr11:79113098-79113084
3127	hsa-miR-640	chr19:19545937-19545952
3128	hsa-miR-548j	chr22:26951227-26951213
3129	hsa-miR-1277	chrX:117520404-117520424
3130	hsa-miR-513a-3p	chrX:146295074-146295058,chrX:146307436-146307420
3131	hsa-miR-611	chr11:61560028-61560015
3132	hsa-miR-1203	chr17:46233814-46233802
3133	hsa-miR-452*	chrX:151128178-151128165
3134	hsa-miR-526b*	chr19:054197702-054197718,chr19:058889514-058889530
3135	hsa-miR-372	chr19:54291192-54291207
3136	hsa-miR-124*	chr8:065291735-065291751,chr8:009760932-009760916,chr20:061809871-061809887
3137	hsa-miR-548g	chr4:148265855-148265836
3138	hsa-miR-1914*	chr20:62572888-62572878
3139	hsa-miR-148a	chr7:25989603-25989586
3140	ebv-miR-BART14*	HHV507799:000148749-000148765,HHV507799:000148749-000148765
3141	hsa-miR-510	chrX:146353883-146353870
3142	hsa-miR-26a-1*	chr3:38010948-38010964
3143	hsa-miR-498	chr19:54177492-54177506
3144	hsa-miR-324-3p	chr17:007067411-007067397,chr17:007126687-007126673
3145	hsa-miR-342-3p	chr14:100576061-100576074
3146	hsa-miR-874	chr5:136983328-136983318
3147	hsa-miR-183	chr7:129414792-129414776
3148	hsa-miR-1236	chr6:31924717-31924706
3149	hsa-miR-326	chr11:75046214-75046200
3150	hsa-miR-1243	chr4:114028027-114028044
3151	hsa-miR-1253	chr17:2651415-2651401
3152	hsa-miR-1255a	chr4:102251508-102251489
3153	hsa-miR-133a	chr18:019405732-019405717,chr20:061162183-061162198
3154	ebv-miR-BHRF1-3	HHV507799:000042972-000042989
3155	hsa-miR-552	chr1:35135280-35135265
3156	hsa-miR-187*	chr18:33484836-33484828
3157	ebv-miR-BART1-3p	HHV507799:000139393-000139408
3158	hsa-miR-653	chr7:93112104-93112087
3159	hsa-miR-1206	chr8:129021149-129021167
3160	hsa-miR-1308_v15.0	chrX:22080280-22080268
3161	hsa-miR-15a*	chr13:50623326-50623310
3162	hsa-miR-34a*	chr1:9211811-9211796
3163		
3164	hsa-miR-765	chr1:156906011-156905996
3165	kshv-miR-K12-8_v14.0	KSU75698:000120010-000119998
3166	hsa-miR-337-5p	chr14:101340856-101340872
3167	hsa-miR-548c-3p	chr12:063302618-063302637,chr12:065016351-065016370
3168	hsa-miR-106b	chr7:99691647-99691632
3169	hsa-miR-656	chr14:101533104-101533123
